gene,Fish_kME
isogroup102599,0.355138576905029
isogroup104240,-0.0695692867928585
isogroup105458,0.309830254427241
isogroup105702,0.558874368165276
isogroup106223,-0.0500480405498509
isogroup110244,0.217143822380168
isogroup113433,0.43993910431995
isogroup113853,0.154085869167118
isogroup113900,-0.0408661177378399
isogroup114019,0.564570880899575
isogroup114288,-0.109467234809864
isogroup114367,-0.0357455743692992
isogroup114763,-0.164260155432118
isogroup115050,-0.0277272479707609
isogroup115090,-0.085710377365683
isogroup115953,0.339962102959199
isogroup116182,-0.250182863195266
isogroup116184,-0.330434031537747
isogroup116251,-0.302273699634281
isogroup116908,0.266216727414556
isogroup116942,-0.384592812984141
isogroup117930,0.0591095651748541
isogroup118667,-0.366584869316347
isogroup118755,-0.362304622203615
isogroup118924,-0.208641468305492
isogroup118930,-0.000880379352760009
isogroup119307,0.00244439736897925
isogroup120422,0.155673055962866
isogroup122237,-0.122779119408016
isogroup123082,-0.297055478673003
isogroup124281,0.19130719261916
isogroup124898,-0.475242480726581
isogroup125900,0.39151801403874
isogroup130031,0.190482505101318
isogroup133061,0.343354221524363
isogroup140277,0.155147192349032
isogroup142976,0.243762632482537
isogroup146709,0.0653461910216655
isogroup146806,0.565298683172275
isogroup14872,0.289400389277185
isogroup14980,0.245339431623345
isogroup152948,0.148041728441196
isogroup153029,-0.430745184193142
isogroup154063,0.170563525768139
isogroup154968,-0.163100765816074
isogroup157573,0.163624658755948
isogroup157759,-0.0142539529943204
isogroup158048,-0.146946605201819
isogroup158209,0.165544832854184
isogroup158912,0.0368526669916872
isogroup158913,0.0712560159137412
isogroup159809,-0.267392359988987
isogroup160097,-0.358062632971995
isogroup160162,0.0539019035518509
isogroup160968,-0.000346912234046641
isogroup162207,0.135725705176451
isogroup163010,-0.332802866043104
isogroup163442,0.196472974185185
isogroup163621,-0.0107759375096374
isogroup164008,0.0224200462087862
isogroup164058,-0.0535469145841266
isogroup164286,-0.323361780039775
isogroup164424,0.198602433575314
isogroup165366,-0.344843586890858
isogroup166275,-0.0325209709990674
isogroup166343,-0.0804691368045354
isogroup166910,-0.330745661995433
isogroup167711,0.274309870608301
isogroup168670,0.0772897159702478
isogroup169281,0.212297108812254
isogroup170117,-0.276412455179732
isogroup170202,-0.233649946825543
isogroup170422,0.249724333724328
isogroup170439,-0.227079154677392
isogroup170472,-0.0434844706748309
isogroup170945,-0.25741735100107
isogroup171107,0.0287647990233276
isogroup171278,-0.300282642292474
isogroup171331,0.323311941424314
isogroup171636,-0.238193475549504
isogroup171888,-0.397109455477325
isogroup172265,0.157479971436102
isogroup172319,-0.0088177666931724
isogroup173206,-0.181727061696747
isogroup174422,-0.258034293377533
isogroup175455,0.204645183630627
isogroup176171,-0.321603042348698
isogroup178374,0.655623842394776
isogroup179334,0.223324413215957
isogroup180582,-0.267637620282217
isogroup180782,-0.265739237984622
isogroup181105,-0.0310227933908394
isogroup181178,0.00267715760378332
isogroup181418,0.152010913145707
isogroup181626,0.0487609789931449
isogroup181767,0.293077900835105
isogroup181824,0.200565268924723
isogroup181962,-0.113577685845641
isogroup182114,-0.0442115461289359
isogroup182220,0.189811192069017
isogroup182230,0.271289773754342
isogroup182542,0.297381311647806
isogroup182604,-0.0958363119372602
isogroup183030,-0.18385750430501
isogroup183181,-0.157810380383527
isogroup183951,0.788883684503799
isogroup183977,-0.347396555174777
isogroup184215,0.348866437686323
isogroup184296,0.118333519418388
isogroup184452,-0.106395108235599
isogroup184489,0.375526554803316
isogroup184505,0.163425691913789
isogroup184937,-0.117577030676172
isogroup185030,-0.0249268162580751
isogroup185119,0.253772612170413
isogroup186155,0.17862068096621
isogroup186224,0.27132182905655
isogroup186434,0.0267481882788284
isogroup186490,-0.0987410778781155
isogroup186544,0.365230211890623
isogroup186680,-0.330577742383729
isogroup186828,-0.0608750859530076
isogroup186909,-0.218074822285871
isogroup187224,0.239103521075389
isogroup187244,-0.131419719822663
isogroup187673,0.0571755122544391
isogroup188399,-0.18788143617001
isogroup188410,-0.117306145839489
isogroup189997,0.0723459254864761
isogroup19005,0.398943027656548
isogroup190063,0.346521101503234
isogroup190277,0.0184310487746073
isogroup190471,0.139969065691128
isogroup190862,-0.185407073442156
isogroup191109,0.00662541935276042
isogroup191133,-0.248283887520027
isogroup191822,0.572115910874193
isogroup191908,0.483511144729931
isogroup192222,-0.153906927172668
isogroup192344,-0.0193658069386609
isogroup192800,-0.350340708172403
isogroup192804,-0.352215615256985
isogroup192841,-0.343794824741926
isogroup192865,-0.231317968498457
isogroup193130,-0.151829441465275
isogroup193149,0.122245988377881
isogroup193216,-0.19614270913814
isogroup193340,0.196062292465568
isogroup193460,0.141201244457334
isogroup193681,-0.148792906686197
isogroup193889,-0.184724751750252
isogroup193905,0.0075733491746796
isogroup194154,0.139792258262164
isogroup194269,-0.0967336955475274
isogroup195063,-0.270998121638662
isogroup195752,-0.132830172062584
isogroup196172,0.258541240818375
isogroup196972,-0.128579841744282
isogroup197015,0.44065955563939
isogroup198097,0.107985983505186
isogroup198136,0.0181641425270103
isogroup198226,-0.341527963547619
isogroup198372,0.259095721481451
isogroup198410,-0.0699460101452362
isogroup198603,0.149533505068609
isogroup198710,0.35231574118273
isogroup198814,0.140799007546093
isogroup199052,-0.294272739002588
isogroup199145,-0.228673200473657
isogroup199342,-0.0312413871748818
isogroup199356,0.124491848664907
isogroup199897,-0.285803073435913
